School,Email,Region,City,Phone,Website,Source,Notes
Montessori-Kinderhaus Kronberg,info@montessori-kronberg.de,Hessen,Kronberg,06173 999700,https://www.montessori-kronberg.de/seite/637756/montessori-kinderhaus.html,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori-Schule Kronberg,info@montessori-kronberg.de,Hessen,Kronberg,06173 999700,https://www.montessori-kronberg.de/seite/637757/montessori-grundschule.html,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori Grundschule,willkommen@montessori-mkk.de,Hessen,Linsengericht-Altenhaßlau,+49 (0)6051 977592,https://www.montessori-mkk.de,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori Kinderhaus,willkommen@montessori-mkk.de,Hessen,Linsengericht-Altenhaßlau,+49 (0)6051 977592,https://www.montessori-mkk.de,Montessori Deutschland Verzeichnis (LV Hessen),
Sekundarschule Freie Montessori Schule Main-Kinzig gemeinnützige GmbH,willkommen@montessori-mkk.de,Hessen,Linsengericht-Geislitz,+49 (0)6051 977592,https://www.montessori-mkk.de,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori-Kindergarten Maintal,info@montessori-maintal.de,Hessen,Maintal,,https://www.montessori-maintal.de,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori-Kinderhaus blistaCampus,kinderhaus@blista.de,Hessen,Marburg,06421 3897632,https://www.blista.de/montessori-kinderhaus#page-content,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori-Nestgruppe Südviertel,kinderhaus@blista.de,Hessen,Marburg,06421 3897632,https://www.blista.de/montessori-kinderhaus,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori-Schule Marburg,info@blista.de,Hessen,Marburg,,https://www.blista.de/Montessori-Grundschule-in-Marburg#page-content,Montessori Deutschland Verzeichnis (LV Hessen),email = Träger blista
Montessori-Schule Marburg ist als IGS (Sek. I),info@blista.de,Hessen,Marburg,06421 606-115,https://www.blista.de/montessori-schule-marburg#page-content,Montessori Deutschland Verzeichnis (LV Hessen),email = Träger blista
Integratives Montessori Kinderhaus,kinderhaus@montessori-michelstadt.de,Hessen,Michelstadt,06061 / 92 23 94,https://www.montessori-michelstadt.de,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori Schule Mühlheim,verwaltung@montessori-muehlheim.de,Hessen,Mühlheim,+49 6108 619083,https://www.montessori-muehlheim.de,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori Kinderhaus Neu-Isenburg,neu-isenburg@montessori-dietzenbach.de,Hessen,Neu-Isenburg,+4960749141050,https://www.montessori-campus.de/einrichtungen/kinderhaus/kinderhaus-neu-isenburg/,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori-Kindergruppe Reichelsheim,info@montessori-reichelsheim.de,Hessen,Reichelsheim,,https://www.montessori-reichelsheim.de,Montessori Deutschland Verzeichnis (LV Hessen),
Kinderzeit Gute Zeit Kindergarten,info@kinderzeit-gutezeit.de,Hessen,Schwalbach am Taunus,,https://kinderzeit-gutezeit.de,Montessori Deutschland Verzeichnis (LV Hessen),
Kinderzeit Gute Zeit Krippe,info@kinderzeit-gutezeit.de,Hessen,Schwalbach am Taunus,,https://kinderzeit-gutezeit.de,Montessori Deutschland Verzeichnis (LV Hessen),
Drachenschule Odenwald,sekretariat@drachenschuleodenwald.de,Hessen,Wald-Michelbach,,https://www.drachenschule-odenwald.de,Montessori Deutschland Verzeichnis (LV Hessen),
"Europa-Schule Dr. Obermayr e.V., Montessori-Grundschule Bierstadter Straße",b15@obermayr.com,Hessen,Wiesbaden,0611.99138-0,https://www.b15-aktuell.de,Montessori Deutschland Verzeichnis (LV Hessen),
"Europa-Schule Dr. Obermayr e.V., Rosenkindergarten",b15@obermayr.com,Hessen,Wiesbaden,0611.93204230,https://krippe-kindergarten.de/hp454/Rosenkindergarten.htm,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori Schule Wiesbaden,info@montessori-schule-wiesbaden.de,Hessen,Wiesbaden,+496111842457,https://www.montessori-schule-wiesbaden.de,Montessori Deutschland Verzeichnis (LV Hessen),
Montessori-Kinderhaus Göttingen,verwaltung@montessori-goe.de,Niedersachsen,Göttingen,0551/485212,https://montessori-goe.de/kinderhaus/,Montessori Deutschland Verzeichnis (LV Niedersachsen),
Montessori-Schule Göttingen,info@montessori-schule-goettingen.de,Niedersachsen,Göttingen,,https://www.montessori-schule-goettingen.de,Montessori Deutschland Verzeichnis (LV Niedersachsen),
Das Montessori „Kindernest“,verwaltung@montessori-goe.de,Niedersachsen,"Göttingen, Niedersachs",0551/485212,https://montessori-goe.de/kindernest/,Montessori Deutschland Verzeichnis (LV Niedersachsen),
Die Montessori „Kosmos-Kids“,kosmoskids@montessori-goe.de,Niedersachsen,"Göttingen, Niedersachs",,https://montessori-goe.de/kosmos-kids/,Montessori Deutschland Verzeichnis (LV Niedersachsen),
Montessori Kinderhaus Bonner Straße,info@montessori-bhs.de,Niedersachsen,Hannover,,https://www.montessori-bildungshaus-hannover.de,Montessori Deutschland Verzeichnis (LV Niedersachsen),email = Träger Montessori Bildungshaus Hannover
Montessori Kinderhaus Milanstraße,info@montessori-bhs.de,Niedersachsen,Hannover,,https://www.montessori-bildungshaus-hannover.de,Montessori Deutschland Verzeichnis (LV Niedersachsen),email = Träger Montessori Bildungshaus Hannover
Montessori Kinderhaus Rapunzel,vorstand@rapunzel-ev.de,Niedersachsen,Hannover,0511 / 131 65 13,https://rapunzel-ev.de/rapunzel,Montessori Deutschland Verzeichnis (LV Niedersachsen),
Montessori Kinderhaus Rapunzelino,vorstand@rapunzel-ev.de,Niedersachsen,Hannover,0511 / 131 65 13,https://rapunzel-ev.de/rapunzelino,Montessori Deutschland Verzeichnis (LV Niedersachsen),
Montessori Schule Hannover,info@montessori-bhs.de,Niedersachsen,Hannover,,https://www.montessori-bildungshaus-hannover.de,Montessori Deutschland Verzeichnis (LV Niedersachsen),email = Träger Montessori Bildungshaus Hannover
Montessori WELT.RÄUME Kinderhaus und Schule,info@montessori-hildesheim.de,Niedersachsen,Hildesheim,05121 / 20 80 991,https://montessori-hildesheim.de,Montessori Deutschland Verzeichnis (LV Niedersachsen),
Neue-Auetal-Schule,schulleitung@neue-auetal-schule.de,Niedersachsen,Lüder,,https://www.neue-auetal-schule.de,Montessori Deutschland Verzeichnis (LV Niedersachsen),
Montessori Haus der Kinder Lüneburg,sekretariat@montessori-lueneburg.de,Niedersachsen,Lüneburg,+4941312205156,https://www.montessori-lueneburg.de,Montessori Deutschland Verzeichnis (LV Niedersachsen),
Montessori-Schule Lüneburg,sekretariat@montessori-lueneburg.de,Niedersachsen,Lüneburg,+4941312205156,https://www.montessori-lueneburg.de,Montessori Deutschland Verzeichnis (LV Niedersachsen),
Freie Montessori-Gesamtschule Osnabrück (IGS),schulleitung@montessori-os.de,Niedersachsen,Osnabrück,0541-76021971,https://montessori-os.de/gesamtschule/,Montessori Deutschland Verzeichnis (LV Niedersachsen),
Freie Montessori-Grundschule Osnabrück,schulleitung@montessori-os.de,Niedersachsen,Osnabrück,0541-76021971,https://www.montessori-os.de,Montessori Deutschland Verzeichnis (LV Niedersachsen),
Freies Montessori-Kinderhaus Osnabrück,gabriella.bernard@montessori-os.de,Niedersachsen,Osnabrück,0541-76021971,https://montessori-os.de/kinderhaus/,Montessori Deutschland Verzeichnis (LV Niedersachsen),
Montessori Grundschule und Kinderhaus Rotenburg Wümme,info@montessori-rotenburg.de,Niedersachsen,Rotenburg/Wümme,04261960620,https://www.montessori-rotenburg.de,Montessori Deutschland Verzeichnis (LV Niedersachsen),
Montessori Kinderhaus Walsrode,info@kinderhaus-walsrode.de,Niedersachsen,Walsrode,051614813214,https://www.montessori-walsrode.de/,Montessori Deutschland Verzeichnis (LV Niedersachsen),
Montessori-Grundschule Walsrode,info@montessori-schule-walsro.de,Niedersachsen,Walsrode,,https://www.montessori-schule-walsro.de,Montessori Deutschland Verzeichnis (LV Niedersachsen),
Montessori Grundschule Wedemark,grundschule@montessori-wedemark.de,Niedersachsen,Wedemark,051308319,https://www.montessori-wedemark.de,Montessori Deutschland Verzeichnis (LV Niedersachsen),
Maria-Montessori-Schule Bad Dürkheim,info@montessori-bad-duerkheim.de,Rheinland-Pfalz,Bad Dürkheim,+49 (0) 6322 94 14 94 0,https://www.montessori-bad-duerkheim.de/,Montessori Deutschland Verzeichnis (LV Rheinland-Pfalz),
Maria-Montessori-Schule Bad Dürkheim Sek. 1,info@montessori-bad-duerkheim.de,Rheinland-Pfalz,Bad Dürkheim,+49 (0) 6322 94 14 94 0,https://www.montessori-bad-duerkheim.de/,Montessori Deutschland Verzeichnis (LV Rheinland-Pfalz),
Bilinguale Montessori-Schule Ingelheim,info@bms-ingelheim.de,Rheinland-Pfalz,Ingelheim,,https://www.montessori-schule-ingelheim.de,Montessori Deutschland Verzeichnis (LV Rheinland-Pfalz),
Freie Montessori Schule Landau,sekretariat@montessori-landau.de,Rheinland-Pfalz,Landau in der Pfalz,06341-945481,https://www.montessori-landau.de,Montessori Deutschland Verzeichnis (LV Rheinland-Pfalz),
Montessori Kinderhaus Landau,sekretariat@montessori-landau.de,Rheinland-Pfalz,Landau in der Pfalz,06341-945481,https://www.montessori-landau.de,Montessori Deutschland Verzeichnis (LV Rheinland-Pfalz),
Freies Montessori-Zentrum Sonnenschein Polch (Grundschule),info@sonnenschein-montessori.schule,Rheinland-Pfalz,Mendig,,https://www.sonnenschein-montessori.schule,Montessori Deutschland Verzeichnis (LV Rheinland-Pfalz),
Freies Montessori-Zentrum Sonnenschein Polch (Realschule),info@sonnenschein-montessori.schule,Rheinland-Pfalz,Mendig,02652/9582396,https://www.sonnenschein-montessori.schule/realschule/,Montessori Deutschland Verzeichnis (LV Rheinland-Pfalz),
Montessorischule Pirmasens,kontakt@montessori-pirmasens.de,Rheinland-Pfalz,Pirmasens,+4963318080960,https://www.monte-pirmasens.de,Montessori Deutschland Verzeichnis (LV Rheinland-Pfalz),
Freie Montessori-Schule Trier,info@montessori-trier.schule,Rheinland-Pfalz,Trier,+49 651 / 918 983 68,https://www.montessori-trier.schule/die-grundstufe-ii-klassen-4-5-und-6/,Montessori Deutschland Verzeichnis (LV Rheinland-Pfalz),
Mittelstufe Montessori-Schule Tier,info@montessori-trier.schule,Rheinland-Pfalz,Trier,+49 651 / 918 983 68,https://www.montessori-trier.schule/die-mittelstuf,Montessori Deutschland Verzeichnis (LV Rheinland-Pfalz),
Freie Montessori Schule Westerwald gGmbH,sekretariat@montessori-westerwald.de,Rheinland-Pfalz,Westerburg,026639114680,https://www.montessori-westerwald.de,Montessori Deutschland Verzeichnis (LV Rheinland-Pfalz),
Freie Montessori Schule Worms,info@monte-worms.de,Rheinland-Pfalz,Worms,,https://www.monte-worms.de,Montessori Deutschland Verzeichnis (LV Rheinland-Pfalz),
Montessori Campus Saarpfalz,sekretariat@monte-campus.de,Saarland,66386 St. Ingbert,,https://www.hasenfelsschule.de,Montessori Deutschland Verzeichnis (LV Saarland),
Montessori-Kinderhaus Aumühle,info@mokinau.de,Schleswig-Holstein,Aumühle,,https://www.mokinau.de,Montessori Deutschland Verzeichnis (LV Schleswig-Holstein),
KinderReich Montessori Kinderhaus Geesthacht,info@kinderreich-montessori.de,Schleswig-Holstein,Geesthacht,+4945428223567,https://www.montessori-kinderreich.de/de/,Montessori Deutschland Verzeichnis (LV Schleswig-Holstein),
Kindertagesstätte Regenbogen,info@regenbogen-halstenbek.de,Schleswig-Holstein,Halstenbek,04101 - 40 11 33,https://www.regenbogen-halstenbek.de/home.html,Montessori Deutschland Verzeichnis (LV Schleswig-Holstein),
Montessori Kinderhaus,info@montessori-itzehoe.de,Schleswig-Holstein,Itzehoe,04821 9575080,https://montessori-itzehoe.de/kinderhaeuser/,Montessori Deutschland Verzeichnis (LV Schleswig-Holstein),
Montessori-Kinderhaus in der Oberen Dorfstraße,info@montessori-itzehoe.de,Schleswig-Holstein,Itzehoe,04821 9575080,https://montessori-itzehoe.de/kinderhaeuser/,Montessori Deutschland Verzeichnis (LV Schleswig-Holstein),
Montessori Kinderhaus der NGD,kita.sonnenschein@ngd.de,Schleswig-Holstein,Kattendorf,041939595900,https://www.kita-kisdorf.de/montessori-kinderhaus/,Montessori Deutschland Verzeichnis (LV Schleswig-Holstein),
Kindergarten Kastanienallee,info@verein-fuer-gemeindepflege.de,Schleswig-Holstein,Kellinghusen,,https://kiga-kastanienallee.de/,Montessori Deutschland Verzeichnis (LV Schleswig-Holstein),
KinderReich Montessori Kinderhaus Mölln,info@kinderreich-montessori.de,Schleswig-Holstein,Mölln,+4945428223567,https://www.montessori-kinderreich.de/de/,Montessori Deutschland Verzeichnis (LV Schleswig-Holstein),
Lebenshilfe Schenefeld e.V. Integratives Montessori Kinderhaus,verwaltung@lebenshilfe-schenefeld.de,Schleswig-Holstein,Schenefeld,040 8393 2336,https://lebenshilfe-schenefeld.de/integrative-montessori-kinderhaeuser.html,Montessori Deutschland Verzeichnis (LV Schleswig-Holstein),
Kinderhaus Schatzmoor,schatzmoor@posteo.de,Schleswig-Holstein,Süderbrarup,,https://www.montessori-kinderhaus-süderbrarup.de,Montessori Deutschland Verzeichnis (LV Schleswig-Holstein),
Montessori Kinderhaus Warnau,montessorikinderhauswarnau@gmx.net,Schleswig-Holstein,Warnau,04302-1241,http://montessori.kinderhaus.warnau.de/,Montessori Deutschland Verzeichnis (LV Schleswig-Holstein),
Kath. Montessori Kindertagesstätte Heilige Familie,kita-hl.familie@kvs-hh.de,Hamburg,Hamburg,,https://www.katholische-kitas-hamburg.de/katholische-kitas/hamburg-nord/heilige-familie-langenhorn/ueberblick,Montessori Deutschland Verzeichnis (LV Hamburg),
Kath. Montessori-Kindertagesstätte St. Annen,kita-st.annen@kvs-hh.de,Hamburg,Hamburg,,https://www.katholische-kitas-hamburg.de/katholische-kitas/hamburg-nord/st-annen-ochsenzoll/ueberblick/,Montessori Deutschland Verzeichnis (LV Hamburg),
Montessori Kinderhaus an der Elbe,montessori@kinderhaus-an-der-elbe.de,Hamburg,Hamburg,,http://kinderhaus-an-der-elbe.de,Montessori Deutschland Verzeichnis (LV Hamburg),
Montessori Kinderhaus monaddrei Henriettenstraße,info@monaddrei.de,Hamburg,Hamburg,+494053308370,https://www.monaddrei.de/kinderhaeuser/henriettens,Montessori Deutschland Verzeichnis (LV Hamburg),
Montessori Kinderhaus monaddrei Schäferkampsallee,info@monaddrei.de,Hamburg,Hamburg,,,Montessori Deutschland Verzeichnis (LV Hamburg),no website
Montessori-Kinderhaus an der Alster,info@montessori-kinderhaus-hamburg.de,Hamburg,Hamburg,,http://www.montessori-kinderhaus-hamburg.de,Montessori Deutschland Verzeichnis (LV Hamburg),
Montessori-Schule MONADDREI,info@monaddrei.de,Hamburg,Hamburg,+494053308370,https://www.monaddrei.de/,Montessori Deutschland Verzeichnis (LV Hamburg),
Billinguale Kinderhäuser - Bildungsraum und Bildungsgarten,info@montessori-stiftung.de,Berlin,Berlin,,https://montessori-stiftung.de/kinderhaeuser/bilinguale-kinderhaeuser-berlin-der-bildungsgarten/,Montessori Deutschland Verzeichnis (LV Berlin),email = Träger Montessori Stiftung Berlin
Deutsch Skandinavische Gemeinschaftsschule und KiTa Campus,info@dsg-schule.de,Berlin,Berlin,030 / 760061230,https://www.dsg-schule.de,Montessori Deutschland Verzeichnis (LV Berlin),
Freudberg Gemeinschaftsschule,info@freudbergschule.de,Berlin,Berlin,,https://www.freudbergschule.de,Montessori Deutschland Verzeichnis (LV Berlin),
Montessori Campus Berlin Köpenick,post@montessori-cbk.de,Berlin,Berlin,,https://www.montessori-cbk.de,Montessori Deutschland Verzeichnis (LV Berlin),
Montessori Campus am Tegeler Forst,sekretariat@montessori-tegel.de,Berlin,Berlin,+493068405070,https://www.montessori-tegel.de,Montessori Deutschland Verzeichnis (LV Berlin),
Montessori Kinderhaus Bienennest,info@kinderhaus-bienennest.de,Berlin,Berlin,+49(0)3063222792,https://www.kinderhaus-bienennest.de/index.php/de/,Montessori Deutschland Verzeichnis (LV Berlin),
Montessori Kinderhaus Pünktchen und Anton,vorstand@puean.de,Berlin,Berlin,,https://puenktchenundanton.com/,Montessori Deutschland Verzeichnis (LV Berlin),
Montessori Oberstufe Berlin,info@montessori-stiftung.de,Berlin,Berlin,,https://montessori-stiftung.de/schulen/oberstufe/,Montessori Deutschland Verzeichnis (LV Berlin),email = Träger Montessori Stiftung Berlin
Montessori Preschool,info@montessori-preschool-berlin.de,Berlin,Berlin,,http://www.montessori-preschool-berlin.de,Montessori Deutschland Verzeichnis (LV Berlin),
Montessori-Gemeinschaftshaus Dahlem,elternvorstand@montessori-gemeinschaftshaus.de,Berlin,Berlin,030/832 79 99,http://www.montessori-gemeinschaftshaus.de/,Montessori Deutschland Verzeichnis (LV Berlin),
Montessori-Kinderhaus Lolek und Bolek,info@lolek-bolek.com,Berlin,Berlin,030-91421445,https://www.lolek-bolek.com,Montessori Deutschland Verzeichnis (LV Berlin),
Kraniche Montessori-Naturschule,vasb@xenavpur-anghefpuhyr.qr,Brandenburg,Am Mellensee Rehagen,,https://kraniche-naturschule.de/,Montessori Deutschland Verzeichnis (LV Brandenburg),
Freie Schule Angermünde - Grundschule,post@freie-schule-angermuende.de,Brandenburg,Angermünde,,https://www.freie-schule-angermuende.de,Montessori Deutschland Verzeichnis (LV Brandenburg),
Freie Schule Angermünde - Oberschule,post@freie-schule-angermuende.de,Brandenburg,Angermünde,,https://www.freie-schule-angermuende.de,Montessori Deutschland Verzeichnis (LV Brandenburg),
Montessori Kindergarten Bernau,info@montessori-kindergarten-bernau.de,Brandenburg,Bernau,,http://www.montessori-kindergarten-bernau.de/kontakt/adresse.html,Montessori Deutschland Verzeichnis (LV Brandenburg),
Freie Schule und Kindergarten Landweg,schule@landweg.org,Brandenburg,Gross Pankow (Prignitz),+493878241073,https://www.landweg.org/,Montessori Deutschland Verzeichnis (LV Brandenburg),
Freie Montessori Oberschule Hangelsberg der FAWZ gGmbH,info@fawz.de,Brandenburg,Grünheide (Mark),,https://www.fawz.de,Montessori Deutschland Verzeichnis (LV Brandenburg),
Montessori Kinderhaus Hangelsberg der FAWZ gGmbH,info@fawz.de,Brandenburg,Grünheide (Mark),,https://www.fawz.de,Montessori Deutschland Verzeichnis (LV Brandenburg),
Freie Montessori Grundschule Hangelsberg der FAWZ gGmbH,info@fawz.de,Brandenburg,Grünheide (Mark) OT Hangelsberg,,https://www.fawz.de,Montessori Deutschland Verzeichnis (LV Brandenburg),
Montessori Grundschule Königs Wusterhausen der FAWZ gGmbH,sekretariat.mgk@v.fawz.de,Brandenburg,Königs Wusterhausen,,https://www.montessori-grundschule-kw.de/,Montessori Deutschland Verzeichnis (LV Brandenburg),
Montessori Oberschule Strausberg,info@montessori-strausberg.de,Brandenburg,Strausberg,,https://www.montessori-strausberg.de,Montessori Deutschland Verzeichnis (LV Brandenburg),
Birken-Grundschule,hallo@birken-grundschule.de,Brandenburg,Treuenbrietzen,,https://halloschule.de/unsere-vision/,Montessori Deutschland Verzeichnis (LV Brandenburg),
Christliche Maria Montessori Grundschule Annaberg-Buchholz,steffen.simon@montessori-schule-annaberg.info,Sachsen,Annaberg-Buchholz,,https://www.montessori-schule-annaberg.info,Montessori Deutschland Verzeichnis (LV Sachsen),email via Trägerverein (LV Sachsen)
Evangelische SchulGemeinschaft Erzgebirge / staatlich anerkannte Oberschule,info@ege-annaberg.de,Sachsen,Annaberg-Buchholz,+49 3733 50677 50,https://www.ege-annaberg.de,Montessori Deutschland Verzeichnis (LV Sachsen),
Montessori-Kinderhaus Chemnitz,verwaltung@montessoriverein-chemnitz.de,Sachsen,Chemnitz,,https://www.montessori-chemnitz.de/de/montessori-kinderhaus-chemnitz.html,Montessori Deutschland Verzeichnis (LV Sachsen),email via Trägerverein
Montessori-Schule Chemnitz - Freie integrative Grundschule,verwaltung@montessoriverein-chemnitz.de,Sachsen,Chemnitz,,https://www.montessori-chemnitz.de/de/montessori-grundschule-chemnitz.html,Montessori Deutschland Verzeichnis (LV Sachsen),email via Trägerverein
Montessori-Schule Chemnitz - Freie integrative Schule Gymnasium,sekretariat.gy@montessoriverein-chemnitz.de,Sachsen,Chemnitz,+49 371 243563-20,https://www.montessori-chemnitz.de/de/gy/startseite.html,Montessori Deutschland Verzeichnis (LV Sachsen),
Montessori-Schule Chemnitz - Freie integrative Schule Oberschule,NOT_FOUND,Sachsen,Chemnitz,,https://www.montessori-chemnitz.de/de/montessori-mittelschule-chemnitz.html,Montessori Deutschland Verzeichnis (LV Sachsen),site unreachable: HTTP Error 404: Not Found
mein montessori Grundschule Chemnitz,kontakt@meinmontessori.de,Sachsen,Chemnitz,0371 23 668 90,https://meinmontessori.de/chemnitz/,Montessori Deutschland Verzeichnis (LV Sachsen),
Freie Montessorischule Huckepack,personal@huckepack-ev.de,Sachsen,Dresden,,https://www.huckepack-ev.de,Montessori Deutschland Verzeichnis (LV Sachsen),
Kinderladen LOTTE & MAX,info@kila-lotte-max.de,Sachsen,Dresden,,https://www.kila-lotte-max.de,Montessori Deutschland Verzeichnis (LV Sachsen),
Montessori-Kinderhaus Huckepack,personal@huckepack-ev.de,Sachsen,Dresden,,https://www.huckepack-ev.de,Montessori Deutschland Verzeichnis (LV Sachsen),
SRH BBWS GmbH c/o SRH Schulen DD,grundschule.dresden@srh.de,Sachsen,Dresden,035120676130,https://srh-grundschule.de,Montessori Deutschland Verzeichnis (LV Sachsen),
"AWO Kinderwelt gGmbH Montessori Kinderhaus ""Sonnenschein""",info@awo-kinderwelt.de,Sachsen,Grimma,03437 / 927025,https://www.awo-kinderwelt.de,Montessori Deutschland Verzeichnis (LV Sachsen),
Christlich-Orthodoxe Montessori Kita Heiliger Georg,leitung@kita-heiliger-georg.de,Sachsen,Leipzig,034297608830,https://www.kita-heiliger-georg.de,Montessori Deutschland Verzeichnis (LV Sachsen),
Integrative Montessori-Kindertagesstätte,post@montessori-kita-leipzig.de,Sachsen,Leipzig,,https://montessori-kita-leipzig.de,Montessori Deutschland Verzeichnis (LV Sachsen),
Montessori-Schulzentrum Leipzig - Hort,sekretariat@montessori-leipzig.de,Sachsen,Leipzig,0341 41570760,https://www.montessori-leipzig.de/schulverein,Montessori Deutschland Verzeichnis (LV Sachsen),
"Maria Montessori Schule - Grundschule und Hort in der ""Alten Schule""",willkommen@montessori-campus-soe.de,Sachsen,Lohmen,03501788550,https://montessori-campus-soe.de,Montessori Deutschland Verzeichnis (LV Sachsen),
mein montessori Grundschule Thalheim,kontakt@meinmontessori.de,Sachsen,Thalheim,0173 654 21 42,https://meinmontessori.de/thalheim/,Montessori Deutschland Verzeichnis (LV Sachsen),
Montessori - Integrative - Kinderkrippe,mail@aktion-sonnenschein-thueringen.de,Thüringen,Erfurt,,https://www.aktion-sonnenschein-thueringen.de,Montessori Deutschland Verzeichnis (LV Thüringen),
Montessori - Integrative - Kindertagesstätte,mail@aktion-sonnenschein-thueringen.de,Thüringen,Erfurt,,https://www.aktion-sonnenschein-thueringen.de,Montessori Deutschland Verzeichnis (LV Thüringen),
Montessori-Integrationsschule Erfurt,mail@montessori-erfurt.de,Thüringen,Erfurt,0361 417 20 94,https://www.montessori-erfurt.de,Montessori Deutschland Verzeichnis (LV Thüringen),
"Montessori - Integrationsschule Nohra ""Theodor Hellbrügge""",mail@montessori-nohra.de,Thüringen,Grammetal,03643 49 00 38,https://www.montessori-nohra.de,Montessori Deutschland Verzeichnis (LV Thüringen),
Christliche Kindertagesstätte Sonnenschein,kita-sonnenschein-zm@online.de,Thüringen,Zella-Mehlis,03682-48 33 66,https://www.kita-sonnenschein-zm.de/,Montessori Deutschland Verzeichnis (LV Thüringen),
International Montessori School Barbara House,barbarahouse@ime-do.de,Nordrhein-Westfalen,Dortmund,+492312826633,https://www.ime-do.de,Montessori Deutschland Verzeichnis (Einzelmitglied NRW),
Montessori Campus Westfalia,post@hagenschule.info,Nordrhein-Westfalen,Hagen,,https://www.mcw.academy,Montessori Deutschland Verzeichnis (Einzelmitglied NRW),
Montessori Kinderhaus in Oberpleis,NOT_FOUND,Nordrhein-Westfalen,Königswinter,,https://montessori-oberpleis.de/kita-oberpleis/konzept/,Montessori Deutschland Verzeichnis (Einzelmitglied NRW),no email published - contact form only
Kinderhaus der Zukunft,info@kinder-der-zukunft.de,Nordrhein-Westfalen,Lippstadt,,https://kinder-der-zukunft.de/kinderhaus/,Montessori Deutschland Verzeichnis (Einzelmitglied NRW),
Zukunftsschulen Lippstadt,info@kinder-der-zukunft.de,Nordrhein-Westfalen,Lippstadt,,https://kinder-der-zukunft.de/,Montessori Deutschland Verzeichnis (Einzelmitglied NRW),
Montessori Schule Bergisches Land Sekundarschule in freier Trägerschaft (in Gründung),kontakt@montessori-bergischesland.de,Nordrhein-Westfalen,Overath,,https://www.montessori-bergischesland.de,Montessori Deutschland Verzeichnis (Einzelmitglied NRW),
"Montessori Campus Westfalia. Gutshof Wellenbad, Schwerte",post@hagenschule.info,Nordrhein-Westfalen,Schwerte,,https://www.mcw.academy,Montessori Deutschland Verzeichnis (Einzelmitglied NRW),
Montessori Kinderhaus Unna,info@montessori-unna.net,Nordrhein-Westfalen,Unna,02303/239514,https://www.montessori-unna.net/,Montessori Deutschland Verzeichnis (Einzelmitglied NRW),
Kita Paradiesvögel - Die Kolibris,sp25@paradiesvoegel.eu,Berlin,Berlin,,https://www.paradiesvoegel.eu,LV Berlin-Brandenburg (montessori-bb.de),
Montessori-Gemeinschaftshaus e.V.,elternvorstand@montessori-gemeinschaftshaus.de,Berlin,Berlin,030/832 79 99,http://www.montessori-gemeinschaftshaus.de,LV Berlin-Brandenburg (montessori-bb.de),
Verein zur Förderung der Kreativität des Kindes e.V. (Schradenschule),schulleitung-schradenschule@outlook.com,Brandenburg,Großthiemig,0152 24347235,https://www.schradenschule-elbe-elster.de,LV Berlin-Brandenburg (montessori-bb.de),
Freie Schule Prenzlau e.V. (Aktive Naturschule),prenzlau@aktive-naturschule.de,Brandenburg,Prenzlau,03984 / 69252-20,https://www.aktive-naturschule.de,LV Berlin-Brandenburg (montessori-bb.de),
Montessorischule Oranienburg,info@jus-or.de,Brandenburg,Oranienburg,0049330183410,https://www.jugendundsozialwerk.de/,LV Berlin-Brandenburg (montessori-bb.de),
Montessori Kinderhaus Lolek und Bolek 2002 e.V.,info@lolek-bolek.com,Berlin,Berlin,030-91421445,https://www.lolek-bolek.com,LV Berlin-Brandenburg (montessori-bb.de),
Landweg e.V. (Freie Schule am Landweg),schule@landweg.org,Brandenburg,Groß Pankow,+493878241073,https://landweg.org,LV Berlin-Brandenburg (montessori-bb.de),
Evangelisches Gymnasium Tharandt,info.egt@evsig.de,Sachsen,Tharandt,+493520337464,https://www.evangelisches-gymnasium-tharandt.de,LV Sachsen (montessori-sachsen.de),
Fürstenwalder Aus- und Weiterbildungszentrum gGmbH (Montessori Campus),info@fawz.de,Brandenburg,Fürstenwalde,,https://fawz.de,LV Berlin-Brandenburg (montessori-bb.de),
Kita Pünktchen und Anton,vorstand@puean.de,Berlin,Berlin,030 / 823 97 74,https://puenktchenundanton.com/impressum/,LV Berlin-Brandenburg (montessori-bb.de),
Montessori Kinderhaus Freiberg,kita@montessori-kinderhaus-freiberg.de,Sachsen,Freiberg,03731167378,http://www.montessori-kinderhaus-freiberg.de/,LV Sachsen (montessori-sachsen.de),
Sankt Martin-Grundschule Zwochau - pro Montessori,verwaltung@schule-zwochau.de,Sachsen,Zwochau,034207/91900,https://www.schule-zwochau.de,LV Sachsen (montessori-sachsen.de),
Kirchliches Kinderhaus St. Michael,kinderhaus.annaberg@t-online.de,Sachsen,Annaberg-Buchholz,,https://www.kinderhaus-annaberg.de,LV Sachsen (montessori-sachsen.de),email via Caritas-Verzeichnis
